track_name,playlist_genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
Love Shack,latin,0.715,0.817,5,-6.227,0,0.0532,0.0325,1.61E-06,0.851,0.871,133.858,321573
Uptown Funk - Radio Edit,latin,0.854,0.65,0,-5.339,1,0.105,0.00794,3.43E-05,0.0692,0.916,115.001,233493
Sweet Caroline,latin,0.538,0.127,11,-16.057,1,0.0284,0.589,1.70E-04,0.238,0.527,62.829,203573
Cha Cha Slide - Original Live Platinum Band Mix,latin,0.978,0.691,6,-5.787,1,0.218,0.00148,7.99E-05,0.28,0.482,122.026,387493
Hey Ya!,latin,0.728,0.974,4,-2.261,0,0.0665,0.103,5.32E-04,0.175,0.965,79.526,235213
Dancing Queen,latin,0.539,0.884,9,-6.53,1,0.0403,0.382,0.00166,0.76,0.752,100.812,230693
Chicken Fried,latin,0.566,0.713,6,-4.25,1,0.0417,0.645,0,0.114,0.807,169.864,238147
The Middle,latin,0.629,0.897,2,-3.401,1,0.0483,0.0424,0,0.263,0.93,161.944,168253
Body Like A Back Road,latin,0.733,0.463,5,-7.269,1,0.0301,0.438,0,0.19,0.653,98.999,161280
Mi Gente (feat. Beyoncé),latin,0.762,0.727,11,-6.347,0,0.0697,0.0221,0,0.175,0.441,104.999,209373
This Girl - Kungs Vs. Cookin' On 3 Burners,latin,0.791,0.702,0,-5.686,0,0.0389,0.0751,2.96E-05,0.0741,0.46,121.963,193773
24K Magic,latin,0.809,0.807,10,-4.284,0,0.0744,0.0301,0,0.0814,0.598,106.983,224760
P.Y.T. (Pretty Young Thing),latin,0.888,0.815,11,-4.909,0,0.0404,0.23,4.24E-04,0.127,0.961,127.273,238733
Kick The Dust Up,latin,0.597,0.86,1,-2.315,1,0.0461,0.196,0,0.0873,0.818,172.067,190600
Blue Ain't Your Color,latin,0.69,0.416,7,-7.865,1,0.0335,0.617,1.37E-06,0.102,0.479,82.45,230600
Zum Zum,latin,0.839,0.832,0,-2.492,1,0.0531,0.0622,4.59E-06,0.282,0.529,92.004,235773
La Chona,latin,0.844,0.717,7,-4.947,1,0.0392,0.00966,0,0.344,0.965,145.065,199080
La niña fresa,latin,0.864,0.662,11,-10.182,1,0.0977,0.125,0,0.148,0.964,136.48,160627
Escándalo,latin,0.917,0.571,4,-6.456,0,0.0308,0.0391,0.0116,0.138,0.924,99.879,288560
Cake By The Ocean,latin,0.769,0.757,4,-5.424,0,0.0526,0.146,0,0.062,0.881,118.98,218440
Danza Kuduro,latin,0.4,0.915,0,-4.89,1,0.28,0.0846,0,0.0503,0.878,88.917,198773
Speechless,latin,0.631,0.44,1,-5.948,1,0.028,0.328,0,0.239,0.418,136.033,212745
Jello,latin,0.704,0.636,11,-6.652,0,0.059,0.0655,0,0.579,0.55,121.96,177520
Better Now,latin,0.686,0.579,10,-5.813,1,0.0442,0.334,0,0.135,0.352,145.051,231267
Believer,latin,0.776,0.78,10,-4.374,0,0.128,0.0622,0,0.081,0.666,124.949,204347
Happier,latin,0.687,0.792,5,-2.749,1,0.0452,0.191,0,0.167,0.671,100.015,214290
Youngblood,latin,0.596,0.854,7,-5.114,0,0.463,0.0169,0,0.124,0.152,120.274,203418
Thunder,latin,0.605,0.822,0,-4.833,1,0.0438,0.00671,0.134,0.147,0.288,167.997,187147
House Party,latin,0.747,0.861,8,-5.251,1,0.0514,0.113,0,0.026,0.859,103.966,190240
Meant to Be (feat. Florida Georgia Line),latin,0.643,0.783,10,-6.458,1,0.0856,0.047,0,0.083,0.579,154.084,163870
